DataSet,Feature,BiomarkerSampleType,pH,DIC (mM),DOC (uM),DIN (uM),SRP (uM),DO (uM),Na (mM),Ca (mM),SO4 (mM),Cl (mM)
Shared,Otu0003,EMB,-0.715*,0.889**,0.854**,0.373,-0.195,-0.692,0.850**,0.825**,0.882**,0.819**
Shared,Otu0005,EMB,-0.839*,0.906**,0.913**,0.026,-0.255,-0.835*,0.834**,0.821**,0.834**,0.743*
Shared,Otu0007,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Otu0008,EMB,-0.715*,0.852*,0.781*,0.475,-0.310,-0.692,0.825**,0.788**,0.857**,0.807**
Shared,Otu0010,EMB,-0.839*,0.906**,0.862**,0.322,-0.255,-0.775*,0.886**,0.860**,0.886**,0.860**
Shared,Otu0011,EMB,-0.715*,0.852*,0.781*,0.475,-0.310,-0.692,0.825**,0.788**,0.857**,0.807**
Shared,Otu0015,EMB,-0.839*,0.867*,0.786*,0.426,-0.373,-0.775*,0.860**,0.821**,0.860**,0.847**
Shared,Otu0018,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Otu0021,EMB,-0.715*,0.852*,0.756*,0.542,-0.425,-0.692,0.813**,0.775**,0.844**,0.782**
Shared,Otu0023,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Otu0028,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Otu0030,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Otu0037,EMB,-0.839*,0.788*,0.710,0.730*,-0.486,-0.775*,0.792**,0.765*,0.792**,0.806**
Shared,Otu0044,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,Otu0045,EMB,-0.715*,0.852*,0.756*,0.542,-0.425,-0.692,0.813**,0.775**,0.844**,0.782**
Shared,Otu0049,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Otu0056,EMB,-0.839*,0.788*,0.685,0.601,-0.609,-0.775*,0.782**,0.769*,0.782**,0.769*
Shared,Otu0062,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,Otu0006,NOF,0.933**,-0.757,-0.854**,-0.305,0.398,0.818*,-0.804**,-0.865**,-0.828**,-0.742*
Shared,Otu0014,NOF,0.950***,-0.778*,-0.812*,-0.461,0.405,0.785*,-0.757*,-0.807**,-0.807**,-0.732*
Shared,Otu0022,NOF,0.950***,-0.778*,-0.812*,-0.201,0.553,0.785*,-0.743*,-0.782**,-0.769*,-0.679*
Shared,Otu0024,NOF,0.950***,-0.778*,-0.812*,-0.392,0.468,0.785*,-0.807**,-0.844**,-0.832**,-0.769*
Shared,Otu0027,NOF,0.805*,-0.536,-0.731*,-0.259,0.192,0.855*,-0.675*,-0.754*,-0.784**,-0.620
Shared,Otu0035,NOF,0.875**,-0.852*,-0.862**,-0.339,0.450,0.711,-0.819**,-0.844**,-0.744*,-0.807**
Shared,Otu0039,NOF,0.754*,-0.788*,-0.791*,-0.201,0.277,0.457,-0.718*,-0.743*,-0.524,-0.756*
Shared,Otu0041,NOF,0.900**,-0.778*,-0.812*,-0.392,0.468,0.785*,-0.782**,-0.819**,-0.769*,-0.757*
Shared,Otu0043,NOF,0.761*,-0.757,-0.878**,-0.153,0.221,0.600,-0.755*,-0.816**,-0.607,-0.742*
All only,Otu0002,NOF,0.750*,-0.852*,-0.862**,-0.237,0.496,0.711,-0.640*,-0.679*,-0.653*,-0.588
All only,Otu0009,NOF,0.875**,-0.630,-0.710,-0.310,0.572,0.935**,-0.705*,-0.731*,-0.821**,-0.614
All only,Otu0013,NOF,0.875**,-0.630,-0.710,-0.310,0.572,0.935**,-0.705*,-0.731*,-0.821**,-0.614
All only,Otu0016,NOF,0.667,-0.954**,-0.932**,-0.239,0.431,0.623,-0.701*,-0.714*,-0.662*,-0.655*
All only,Otu0017,NOF,0.900**,-0.667,-0.736*,-0.237,0.591,0.898**,-0.718*,-0.743*,-0.782**,-0.640*
Prokaryotes only,Otu0042,NOF,0.900**,-0.852*,-0.862**,-0.146,0.534,0.711,-0.821**,-0.834**,-0.718*,-0.782**
Prokaryotes only,Otu0073,NOF,0.775*,-0.741,-0.786*,-0.365,0.477,0.823*,-0.705*,-0.731*,-0.834**,-0.614
Prokaryotes only,Otu0089,NOF,0.819*,-0.591,-0.627,-0.420,0.353,0.656,-0.562,-0.640*,-0.627,-0.550
Prokaryotes only,Otu0105,NOF,0.900**,-0.778*,-0.812*,-0.201,0.553,0.785*,-0.718*,-0.756*,-0.705*,-0.666*
Prokaryotes only,Otu0128,NOF,0.575,-0.704,-0.799*,-0.174,0.055,0.411,-0.544,-0.588,-0.363,-0.582
