DataSet,Feature,BiomarkerSampleType,pH,DIC (mM),DOC (uM),DIN (uM),SRP (uM),DO (uM),Na (mM),Ca (mM),SO4 (mM),Cl (mM)
Shared,Acidimicrobiia,EMB,-0.586,0.893**,0.810*,0.517,-0.113,-0.595,0.794**,0.733*,0.709*,0.830**
Shared,Atribacteria_cl,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Bacteria_unclassified,EMB,-0.586,0.786*,0.714,0.600,-0.339,-0.703,0.794**,0.721*,0.818**,0.770*
Shared,Bacteroidetes_unclassified,EMB,-0.575,0.757,0.719*,0.477,-0.332,-0.745,0.779**,0.718*,0.816**,0.755*
Shared,DHVE6_cl,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,Deltaproteobacteria,EMB,-0.610,0.714,0.690,0.500,-0.339,-0.775*,0.794**,0.733*,0.867**,0.758*
Shared,Mollicutes,EMB,-0.741*,0.685,0.647,0.628,-0.559,-0.745,0.835**,0.793**,0.872**,0.793**
Shared,Parcubacteria_unclassified,EMB,-0.601,0.847*,0.755*,0.795*,-0.227,-0.582,0.596,0.571,0.571,0.644*
Shared,Proteobacteria_unclassified,EMB,-0.577,0.893**,0.786*,0.483,-0.400,-0.595,0.790**,0.736*,0.742*,0.778**
Shared,Zetaproteobacteria,EMB,-0.839*,0.867*,0.786*,0.426,-0.373,-0.775*,0.860**,0.821**,0.860**,0.847**
Shared,Betaproteobacteria,NOF,0.927**,-0.786*,-0.874**,-0.293,0.219,0.818*,-0.772*,-0.839**,-0.821**,-0.729*
Shared,Cytophagia,NOF,0.854**,-0.857*,-0.922**,-0.285,0.179,0.739,-0.790**,-0.839**,-0.705*,-0.796**
Shared,Sphingobacteriia,NOF,0.927**,-0.786*,-0.857**,-0.300,0.218,0.811*,-0.758*,-0.830**,-0.806**,-0.721*
All only,Clostridia,EMB,-0.577,0.613,0.599,0.728*,-0.472,-0.818*,0.693*,0.614,0.736*,0.675*
All only,Chlorophyceae,NOF,0.778*,-0.691,-0.712,-0.604,0.173,0.752,-0.659*,-0.683*,-0.843**,-0.622
All only,Chloroplast_cl,NOF,0.736*,-0.883**,-0.854**,-0.373,0.345,0.664,-0.730*,-0.742*,-0.742*,-0.706*
All only,Chrysophyceae,NOF,0.875**,-0.630,-0.710,-0.533,0.457,0.935**,-0.747*,-0.778**,-0.872**,-0.690*
All only,Eukaryota_unclassified,NOF,0.675,-0.704,-0.761*,-0.347,0.515,0.860*,-0.601,-0.627,-0.705*,-0.524
Prokaryotes only,Actinobacteria,NOF,0.781*,-0.536,-0.714,-0.133,0.191,0.847*,-0.661*,-0.758*,-0.745*,-0.576
Prokaryotes only,Alphaproteobacteria,NOF,0.708,-0.536,-0.595,-0.200,-0.087,0.487,-0.479,-0.552,-0.539,-0.479
Prokaryotes only,Bacilli,NOF,0.626,-0.505,-0.743*,-0.259,-0.140,0.382,-0.535,-0.675*,-0.517,-0.529
Prokaryotes only,Cyanobacteria_unclassified,NOF,0.605,-0.782*,-0.884**,-0.140,0.311,0.697,-0.596,-0.659*,-0.652*,-0.489
Prokaryotes only,Flavobacteriia,NOF,0.220,0.071,-0.071,0.233,0.261,0.108,0.164,0.006,0.127,0.212
