DataSet,Feature,BiomarkerSampleType,pH,DIC (mM),DOC (uM),DIN (uM),SRP (uM),DO (uM),Na (mM),Ca (mM),SO4 (mM),Cl (mM)
Shared,Atribacteria_fa,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Bacteria_unclassified,EMB,-0.683,0.786*,0.714,0.600,-0.339,-0.703,0.842**,0.782**,0.867**,0.818**
Shared,Bacteroidetes_unclassified,EMB,-0.575,0.757,0.719*,0.477,-0.332,-0.745,0.779**,0.718*,0.816**,0.755*
Shared,DHVE6_fa,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,Deltaproteobacteria_unclassified,EMB,-0.575,0.757,0.695,0.628,-0.350,-0.745,0.742*,0.681*,0.791**,0.718*
Shared,Desulfobacteraceae,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Desulfobulbaceae,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Family_XII,EMB,-0.839*,0.788*,0.685,0.601,-0.609,-0.775*,0.782**,0.769*,0.782**,0.769*
Shared,Geobacteraceae,EMB,-0.715*,0.889**,0.854**,0.373,-0.195,-0.692,0.850**,0.825**,0.882**,0.819**
Shared,Mariprofundaceae,EMB,-0.839*,0.867*,0.786*,0.426,-0.373,-0.775*,0.860**,0.821**,0.860**,0.847**
Shared,NB1-n_fa,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,OM1_clade,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Parcubacteria_unclassified,EMB,-0.543,0.782*,0.699,0.824**,-0.237,-0.582,0.555,0.530,0.537,0.604
Shared,Piscirickettsiaceae,EMB,-0.839*,0.906**,0.913**,0.026,-0.255,-0.835*,0.834**,0.821**,0.834**,0.743*
Shared,Proteobacteria_unclassified,EMB,-0.683,0.893**,0.786*,0.483,-0.400,-0.595,0.867**,0.818**,0.806**,0.855**
Shared,Sva0996_marine_group,EMB,-0.715*,0.852*,0.781*,0.475,-0.310,-0.692,0.825**,0.788**,0.857**,0.807**
Shared,Xanthomonadaceae,EMB,-0.512,0.821*,0.810*,0.433,-0.113,-0.703,0.745*,0.697*,0.758*,0.733*
Shared,Chitinophagaceae,NOF,0.957***,-0.811*,-0.805*,-0.424,0.257,0.736,-0.841**,-0.853**,-0.828**,-0.853**
Shared,Comamonadaceae,NOF,0.927**,-0.786*,-0.857**,-0.350,0.331,0.811*,-0.770*,-0.830**,-0.818**,-0.709*
Shared,Cyclobacteriaceae,NOF,0.871**,-0.829*,-0.904**,-0.311,0.189,0.782*,-0.774*,-0.829**,-0.720*,-0.774*
Shared,Cytophagaceae,NOF,0.859**,-0.883**,-0.854**,-0.305,0.301,0.664,-0.828**,-0.828**,-0.718*,-0.841**
Shared,Oxalobacteraceae,NOF,0.875**,-0.852*,-0.862**,-0.426,0.305,0.711,-0.757*,-0.794**,-0.669*,-0.782**
Shared,Sphingobacteriaceae,NOF,0.854**,-0.643,-0.786*,-0.233,0.157,0.739,-0.673*,-0.770*,-0.745*,-0.624
Shared,Sporichthyaceae,NOF,0.900**,-0.667,-0.683,-0.407,0.434,0.845*,-0.755*,-0.779**,-0.816**,-0.730*
All only,Chloroplast_fa,NOF,0.736*,-0.883**,-0.854**,-0.373,0.345,0.664,-0.730*,-0.742*,-0.742*,-0.706*
All only,Chrysophyceae_unclassified,NOF,0.875**,-0.630,-0.710,-0.496,0.486,0.935**,-0.769*,-0.794**,-0.882**,-0.707*
All only,Eukaryota_unclassified,NOF,0.675,-0.704,-0.761*,-0.347,0.515,0.860*,-0.601,-0.627,-0.705*,-0.524
Prokaryotes only,Cryomorphaceae,NOF,0.950***,-0.852*,-0.862**,-0.339,0.450,0.711,-0.907***,-0.919***,-0.844**,-0.882**
Prokaryotes only,Cyanobacteria_unclassified,NOF,0.675,-0.704,-0.761*,-0.531,0.432,0.860*,-0.669*,-0.694*,-0.769*,-0.619
Prokaryotes only,Flavobacteriaceae,NOF,0.220,0.071,-0.071,0.233,0.261,0.108,0.164,0.006,0.127,0.212
Prokaryotes only,Microbacteriaceae,NOF,0.854**,-0.679,-0.802*,-0.326,0.253,0.927**,-0.796**,-0.851**,-0.857**,-0.742*
Prokaryotes only,Moraxellaceae,NOF,0.464,-0.571,-0.563,-0.293,0.258,0.245,-0.462,-0.462,-0.249,-0.535
Prokaryotes only,Rhodobacteraceae,NOF,0.659,-0.429,-0.524,-0.317,-0.148,0.595,-0.430,-0.491,-0.539,-0.430
Prokaryotes only,Sphingomonadaceae,NOF,0.700,-0.541,-0.623,0.008,0.074,0.468,-0.460,-0.595,-0.497,-0.411
